,dtype,n_unique,pct_null
distance_group,float64,3,45.01
img_path,object,5659,0.0
patient_global,object,2099,0.0
pathology_report,object,518,0.0
anatomical_site_clean,object,430,0.0
age,int64,87,0.0
lesion_size_mm,float64,78,0.0
diameter_2,float64,39,0.0
clinical_impression,object,15,0.0
clinical_impression_2,object,15,0.0
background_father,object,14,0.0
clinical_impression_3,object,14,0.0
background_mother,object,12,0.0
cli_impres__group,object,9,0.0
cli_impres__2_group,object,9,0.0
cli_impres__3_group,object,9,0.0
diagnosis,object,7,0.0
fitzpatrick,int64,7,0.0
race,object,6,0.0
anatomical_site,object,5,0.0
distance,object,5,0.0
bleed,object,4,0.0
hurt,object,4,0.0
itch,object,4,0.0
changed,object,4,0.0
grew,object,4,0.0
elevation,object,4,0.0
race_group,object,4,0.0
sex,object,3,0.0
smoking,object,3,0.0
alcohol_consumption,object,3,0.0
cancer_history,object,3,0.0
skin_cancer_history,object,3,0.0
biopsed,object,3,0.0
has_piped_water,object,3,0.0
has_sewage_system,object,3,0.0
pesticide,object,3,0.0
is_control,object,3,0.0
melanoma_flag,object,3,0.0
is_malignant,float64,2,0.0
dataset_id,object,2,0.0
