,pct_unknown,p_value_unknown_vs_label
background_father,73.84696942922778,1.1697927943408124e-190
background_mother,73.91765329563526,1.6193888958312574e-190
alcohol_consumption,73.59957589680155,7.655454656580828e-187
cancer_history,73.59957589680155,7.655454656580828e-187
has_piped_water,73.59957589680155,7.655454656580828e-187
has_sewage_system,73.59957589680155,7.655454656580828e-187
pesticide,73.59957589680155,7.655454656580828e-187
skin_cancer_history,73.59957589680155,7.655454656580828e-187
smoking,73.59957589680155,7.655454656580828e-187
biopsed,59.39211874889556,6.090391208224707e-129
bleed,59.39211874889556,6.090391208224707e-129
changed,59.39211874889556,6.090391208224707e-129
elevation,59.39211874889556,6.090391208224707e-129
grew,59.39211874889556,6.090391208224707e-129
hurt,59.39211874889556,6.090391208224707e-129
itch,59.39211874889556,6.090391208224707e-129
is_control,40.60788125110443,6.090391208224707e-129
melanoma_flag,40.94362961654002,8.563379966759166e-128
clinical_impression,40.97897154974377,1.715684872729512e-126
race,42.42799081109737,3.605814793945048e-116
race_group,42.42799081109737,3.605814793945048e-116
clinical_impression_2,48.41844848913235,9.128177793064648e-66
pathology_report,48.294751722919244,1.7529146787933081e-37
clinical_impression_3,62.73193143664958,1.925304644017797e-21
sex,14.207457147905991,0.005324376121701947
age,0.0,
anatomical_site,0.0,
anatomical_site_clean,0.0,
cli_impres__2_group,0.0,
cli_impres__3_group,0.0,
cli_impres__group,0.0,
dataset_id,0.0,
diagnosis,0.0,
diameter_2,0.0,
distance,0.0,
distance_group,0.0,
fitzpatrick,0.0,
img_path,0.0,
is_malignant,0.0,
lesion_size_mm,0.0,
patient_global,0.0,
